Interval,% Processor Time,Disk Reads/sec,Disk Writes/sec,Log Bytes Flushed/sec
10/28/2017 2:43:53 PM,100,3.761816,0,0
10/28/2017 2:43:54 PM,100,5.667273,1.889303,0
10/28/2017 2:43:55 PM,100,4.767924,3.786512,0
10/28/2017 2:43:56 PM,100,10.49219,1.922143,0
10/28/2017 2:43:58 PM,100,11.2242,6.547812,0
10/28/2017 2:43:59 PM,100,7.224133,3.611979,0
10/28/2017 2:44:00 PM,100,1.889416,1.889229,0
10/28/2017 2:44:01 PM,100,12.22153,3.760883,0
10/28/2017 2:44:02 PM,100,8.647442,1.921709,0
10/28/2017 2:44:03 PM,100,10.36243,1.883796,0
10/28/2017 2:44:04 PM,100,10.4315,4.680942,0
10/28/2017 2:44:05 PM,100,10.76347,1.816391,0
10/28/2017 2:44:06 PM,100,8.923448,1.784735,0
10/28/2017 2:44:08 PM,100,6.234297,24.92636,0
10/28/2017 2:44:09 PM,100,9.450645,3.150688,0
10/28/2017 2:44:10 PM,100,7.302301,1.826075,0
10/28/2017 2:44:11 PM,100,5.709163,2.854491,0
10/28/2017 2:44:12 PM,100,7.453775,2.795223,0
10/28/2017 2:44:13 PM,100,7.628773,3.814235,0
10/28/2017 2:44:14 PM,100,9.042513,3.767852,0
10/28/2017 2:44:16 PM,100,9.852651,1.64184,0
10/28/2017 2:44:17 PM,100,20.06204,1.911218,0
10/28/2017 2:44:18 PM,100,12.35335,3.781089,0
10/28/2017 2:44:19 PM,100,14.06691,2.827605,0
10/28/2017 2:44:20 PM,100,2.856884,4.762071,0
10/28/2017 2:44:21 PM,100,9.636342,3.503889,0
10/28/2017 2:44:22 PM,100,17.2134,2.868932,0
10/28/2017 2:44:23 PM,100,19.84697,5.670495,0
10/28/2017 2:44:24 PM,100,3.746366,17.79553,0
10/28/2017 2:44:25 PM,100,3.44476,1.722398,0
10/28/2017 2:44:26 PM,100,4.862278,0.9724178,59747.69
10/28/2017 2:44:27 PM,100,10.50138,17.14901,58519.71
10/28/2017 2:44:28 PM,100,10.49329,2.865803,58681.17
10/28/2017 2:44:30 PM,100,4.847662,5.821414,0
10/28/2017 2:44:31 PM,100,8.350616,3.711071,0
10/28/2017 2:44:32 PM,100,10.06237,5.488816,0
10/28/2017 2:44:33 PM,100,17.34385,6.745314,0
